,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
170,아크라,마콜라,가나여행,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,아프리카음식,가나여행,아프리카여행,fugu,우갈리,,,,,,,,,,,,,,,,,,,,,,,,,
172,가나여행,엘미나,elmina,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,원숭이세마리,아크라,원숭이조각,가나여행,,,,,,,,,,,,,,,,,,,,,,,,,,
174,아프리카여행,토마토,가나여행,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,공정여행,공정무역,아프리카여행,가나여행,,,,,,,,,,,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,일러스트,열기구,travel,하품,africa,열기구여행,여행에미치다,여행,독립문,가나여행,여행일러스트,여행스타그램,유디니,작가하품,일러스트레이터,hapooooom,하품작가,아프리카여행,justice,freedom,가나,아프리카,,,,,,,,
178,가나여행,ghana,accra,가나음식,,,,,,,,,,,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,elminacastle,여행에미치다_아프리카,아프리카여행,엘미나성,몰레국립공원,가나여행,molemotel,,,,,,,,,,,,,,,,,,,,,,,
181,노예무역,capecoastcastle,감옥,가나여행,성,slavery,elminacastle,africa,ghana,,,,,,,,,,,,,,,,,,,,,
182,capecoast,visitghana,아프리카,horse,아크라,tropical,ghanagram,아프리카여행,gulfofguinea,accra,beach,westafrica,가나여행,가나,ghana,travelgram,ocean,기니만,beachhorse,africa,ghanabeach,loveghana,iloveaccra,labadibeach,travelafrica,instatravel,travel,beachday,godisgood,travelholic
183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,울산링컨,가나여행,코코넛따먹기,드림빌더,,,,,,,,,,,,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,가나여행,accra,귀한섬김감사합니다,❤️,elminacastle,아프리카,엘미나성,,,,,,,,,,,,,,,,,,,,,,,
187,술친구,동네친구,책갈피,일요일,자석,눈누난나,휴무,iloveghana,언니,생겼다그램,밥동무,가나여행,싸우지말자,카카오,일상,daily,기념품,돈나갈일,가나,아프리카,선물,제발,자매,동생스타그램,가족,lovestagram,럽스타그램,노래방친구,사랑,
188,영등포타임스퀘어,가나여행,vr체험,자립마을live,샘오취리,월드비전,,,,,,,,,,,,,,,,,,,,,,,,
